"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Wil Lutz","K","DEN",10,147,4.69,2.59,139,151,2.59,10.1,-8.64,185,166,232,12,"2",32,163,1.02,3,10
"Rams","DST","LAR",11,53.9,3.55,0.465,49.2,57.9,2.17,5.89,-1.02,186,177,203,6,"5",NA,122,4.16,1,NA
"Kayshon Boutte","WR","NE",11,117,48.8,2.15,68.4,178,2.15,-9.12,30.1,187,221,130,70,"10",24,154,2.02,89,3
"Jaguars","DST","JAC",7,53.4,6.19,0.411,46.7,61.2,1.71,3.38,2.24,188,181,186,7,"6",NA,164,1.02,16,NA
"Steelers","DST","PIT",9,53,2.41,0.492,50.1,55.7,1.3,6.8,-3.2,189,174,211,8,"6",NA,149,1.31,10,NA
"Chargers","DST","LAC",7,52.5,7.91,0.491,43.3,62.4,0.804,0,3.49,190,194,179,9,"7",NA,154,0.833,35,NA
"Eagles","DST","PHI",10,52,5.16,0.147,45.3,57.1,0.313,1.95,-1.82,191,183,206,10,"7",NA,120,1.3,13,NA
"Patriots","DST","NE",11,51.9,7.67,0.129,41.9,61.4,0.166,-1.38,2.45,192,196,183,11,"7",NA,146,1.17,39,NA
"Vikings","DST","MIN",6,51.8,7.15,0.0372,42.9,61.6,0.0372,-0.431,2.67,193,195,182,12,"7",NA,145,0.967,48,NA
"Bryce Young","QB","CAR",5,315,36,14,287,371,0,0,6.69,194,194,170,23,"5",24,138,4.85,25,3
"James Conner","RB","ARI",14,79,32.8,0.166,36.6,121,0,-19.5,16.3,194,251,150,56,"16",31,149,2.25,91,9
"Adonai Mitchell","WR","NYJ",13,115,24.2,0.366,91,147,0,13.5,-0.398,194,158,198,71,"10",23,182,2.93,74,2
"Chigoziem Okonkwo","TE","WAS",7,134,15.9,1.33,122,160,0,6.29,-0.299,194,175,197,23,"6",26,148,4.04,53,4
"Saints","DST","NO",8,51.7,4.91,0.0635,45.2,56.4,0,1.93,-2.49,194,184,208,13,"8",NA,155,0,23,NA
"Cairo Santos","K","CHI",10,144,13.1,0.941,126,161,0,-3.16,1.42,194,202,190,13,"2",34,184,1.13,26,12
"Falcons","DST","ATL",11,51.7,7.74,0.551,45.1,62.6,-0.0635,1.79,3.7,195,185,178,14,"8",NA,150,0,74,NA
"Antonio Gibson","RB","FA",NA,78.8,NA,0.3,NA,NA,-0.166,NA,NA,196,NA,NA,57,"16",56,NA,NA,99,6
