season,overall_pick,round,round_pick,team,owner,player,pos,bid,keeper
2024,69,7,3,Etienne all the Capicola,CBPainTrain,Cole Kmet,TE,2,False
2024,70,7,4,"Hahaha nice name, i got nothing",Rohabhabibo,Jets D/ST,DST,5,False
2024,71,7,5,Lambeau Calrissian,RPT0777,Jerry Jeudy,WR,4,False
2024,72,7,6,Etienne all the Capicola,CBPainTrain,Brian Robinson Jr.,RB,6,False
2024,73,7,7,To be A. Rich I need a Pacheco,eyedocjj,Ladd McConkey,WR,4,False
2024,74,7,8,3AM  No Limit,espn14211458,Chris Godwin,WR,11,False
2024,75,7,9,Ugh...Yeah...What...Football!,kdoggs80,Josh Jacobs,RB,37,False
2024,76,7,10,Lucero's Bail Bonds,BobbyeddyB,Ravens D/ST,DST,3,False
2024,77,7,11,Da'Kine Bail Bonds,espn19238790,Keon Coleman,WR,4,False
2024,78,8,1,Ugh...Yeah...What...Football!,kdoggs80,Evan McPherson,K,1,False
2024,79,8,2,3AM  No Limit,espn14211458,Greg Zuerlein,K,2,False
2024,80,8,3,3AM  No Limit,espn14211458,Calvin Ridley,WR,13,False
2024,81,8,4,3AM  No Limit,espn14211458,Tee Higgins,WR,12,False
2024,82,8,5,3AM  No Limit,espn14211458,Diontae Johnson,WR,9,False
2024,83,8,6,The Replacements,silverandblack.27,Kenneth Walker III,RB,33,False
2024,84,8,7,The Replacements,silverandblack.27,Mike Evans,WR,37,False
2024,85,8,8,The Replacements,silverandblack.27,Deebo Samuel Sr.,WR,25,False
2024,86,8,9,We call this the hail mary!,funblood,Joe Mixon,RB,30,False
2024,87,8,10,To be A. Rich I need a Pacheco,eyedocjj,Bears D/ST,DST,2,False
2024,88,8,11,Rolling with Younghoes,espn98580191,Younghoe Koo,K,2,False
2024,89,9,1,We call this the hail mary!,funblood,Rachaad White,RB,36,False
2024,90,9,2,Rolling with Younghoes,espn98580191,DK Metcalf,WR,26,False
2024,91,9,3,The Replacements,silverandblack.27,Amari Cooper,WR,11,False
2024,92,9,4,Lambeau Calrissian,RPT0777,Terry McLaurin,WR,10,False
2024,93,9,5,Da'Kine Bail Bonds,espn19238790,Jaylen Waddle,WR,18,False
2024,94,9,6,3AM  No Limit,espn14211458,Jaylen Warren,RB,2,False
2024,95,9,7,The Replacements,silverandblack.27,DeVonta Smith,WR,16,False
2024,96,9,8,The Replacements,silverandblack.27,Kyler Murray,QB,9,False
2024,97,9,9,3AM  No Limit,espn14211458,Steelers D/ST,DST,2,False
2024,98,9,10,3AM  No Limit,espn14211458,Brock Purdy,QB,3,False
2024,99,9,11,Lucero's Bail Bonds,BobbyeddyB,Jason Myers,K,1,False
2024,100,10,1,3AM  No Limit,espn14211458,David Njoku,TE,6,False
2024,101,10,2,Da'Kine Bail Bonds,espn19238790,Christian Kirk,WR,10,False
2024,102,10,3,Da'Kine Bail Bonds,espn19238790,Austin Ekeler,RB,6,False
2024,103,10,4,Ugh...Yeah...What...Football!,kdoggs80,Jayden Reed,WR,7,False
2024,104,10,5,Da'Kine Bail Bonds,espn19238790,Jameson Williams,WR,3,False
2024,105,10,6,Etienne all the Capicola,CBPainTrain,Ka'imi Fairbairn,K,1,False
2024,106,10,7,Ugh...Yeah...What...Football!,kdoggs80,Jake Ferguson,TE,10,False
2024,107,10,8,Da'Kine Bail Bonds,espn19238790,Dak Prescott,QB,11,False
2024,108,10,9,Da'Kine Bail Bonds,espn19238790,Jake Moody,K,2,False
